ticket_id,title,status,priority,assigned_to_employee_id,created_at,closed_at
1,Customer-facing API failure in client environment [Carpenter],In Progress,Medium,11,2023-03-19,
2,Data export causing crash [MonitorHub],In Progress,Medium,22,2022-10-24,
3,Report generation causing error [DataPipeline],Resolved,High,16,2022-10-25,2023-12-01
4,Report generation causing bug [Internal],Resolved,High,12,2024-12-22,2023-04-27
5,Login attempt causing crash [Davies],In Progress,High,14,2023-12-05,
6,Request: Custom dashboard for production [Internal],In Progress,Medium,13,2022-09-22,
7,Customer-facing Authentication timeout in staging [Smith],Resolved,Medium,13,2022-03-04,2023-07-29
8,Request: Bulk import for production [MonitorHub],In Progress,Medium,23,2024-03-19,
9,Unable to export data - resource exhausted [Davies],Resolved,Medium,3,2022-02-26,2024-08-08
10,Database high latency [Internal],Resolved,Medium,11,2022-03-15,2024-04-25
11,Customer-facing Authentication crash in development [Internal],Pending,Medium,4,2023-12-05,
12,Critical Database crash in user workflow [Pilot],In Progress,Critical,14,2022-07-15,
13,High priority Integration bug in production [Pilot],Open,Medium,15,2022-03-24,
14,Request: Custom dashboard for user workflow [Internal],Resolved,Low,14,2023-07-19,2025-10-17
15,Request: API access for development [DataPipeline],Resolved,Medium,12,2024-09-20,2023-06-08
16,Report generation causing malfunction [Pilot],In Progress,Medium,11,2022-09-19,
17,Unable to load module - permission denied [Davies],Resolved,Low,3,2024-10-20,2024-01-25
18,Sync process causing failure [Internal],In Progress,Medium,15,2023-09-12,
19,Critical Dashboard crash in client environment [Carpenter],In Progress,High,2,2024-12-15,
20,Unable to complete sync - resource exhausted [Carpenter],In Progress,Medium,7,2023-06-20,
21,Login attempt causing problem [Carpenter],In Progress,High,8,2023-01-08,
22,Critical Dashboard problem in data pipeline [POC],Resolved,Medium,8,2024-09-01,2024-10-26
23,Report generation causing timeout [Internal],Closed,Low,7,2022-03-03,2025-09-06
24,Request: Bulk import for development [Internal],Resolved,High,8,2022-12-15,2024-05-14
25,Production Authentication crash in staging [DataPipeline],In Progress,Medium,24,2023-07-18,
26,Urgent Service failure in client environment [Davies],In Progress,High,4,2024-04-06,
27,Critical Service error in user workflow [Davies],Resolved,Low,24,2024-06-29,2024-04-08
28,Unable to generate report - resource exhausted [MonitorHub],In Progress,High,10,2023-11-30,
29,UI performance degradation [DataPipeline],In Progress,High,7,2022-09-14,
30,Request: API access for user workflow [Davies],Open,Medium,19,2023-10-03,
31,Unable to generate report - permission denied [Davies],Resolved,Low,18,2023-05-05,2024-10-03
32,Unable to complete sync - timeout error [Davies],In Progress,Medium,8,2022-07-04,
33,Sync process causing timeout [Davies],Closed,Medium,7,2024-12-11,2025-12-09
34,Unable to generate report - connection refused [DataPipeline],Pending,Low,14,2023-10-19,
35,Request: Enhanced logging for staging [Davies],Open,Medium,7,2023-08-05,
36,Request: API access for data pipeline [Smith],In Progress,Low,22,2022-10-21,
37,Request: Enhanced logging for production [Pilot],Resolved,High,23,2024-05-12,2024-09-12
38,Request: Audit trail for user workflow [Davies],In Progress,Medium,12,2022-01-24,
39,Request: Audit trail for production [Smith],Pending,Medium,10,2023-03-28,
40,Request: Enhanced logging for data pipeline [Carpenter],Resolved,Medium,15,2024-12-30,2024-12-26
41,Critical Pipeline problem in client environment [MonitorHub],Resolved,High,23,2024-10-07,2024-09-08
42,Batch job causing problem [Internal],In Progress,Low,12,2024-02-19,
43,Production Service problem in development [Internal],In Progress,Critical,7,2022-01-07,
44,Unable to load module - null pointer [Davies],Resolved,High,7,2023-07-09,2024-06-13
45,Request: Bulk import for data pipeline [Smith],Pending,Critical,21,2022-09-18,
46,Sync process causing issue [SecureGate],Open,Low,11,2022-08-27,
47,API memory leak [Smith],Open,Critical,16,2022-08-07,
48,Sync process causing malfunction [Davies],Pending,High,2,2024-10-04,
