ticket_id,project_id,title,description,status,priority,assigned_to_employee_id,customer_id,created_at,closed_at
1,6,Customer-facing API failure in client environment [Carpenter],Issue reported: Customer-facing API failure in client environment. Customer Carpenter Garcia This is causing data inconsistency. Action required: coordinate with customer and coordinate with customer. First observed: 2023-03-26 | Frequency: sporadic,In Progress,Medium,11,26,2023-03-19,
2,10,Data export causing crash [MonitorHub],Issue reported: Data export causing crash. This is affecting multiple users. Action required: escalate to engineering and implement workaround. First observed: 2023-08-10 | Environment: multi-region,In Progress,Medium,22,,2022-10-24,
3,5,Report generation causing error [DataPipeline],Issue reported: Report generation causing error. Customer Taylor Group This is preventing access. Action required: implement workaround and implement workaround. Frequency: increasing | First observed: 2024-08-08,Resolved,High,16,10,2022-10-25,2023-12-01
4,12,Report generation causing bug [Internal],Issue reported: Report generation causing bug. This is impacting SLA. Action required: investigate root cause and implement workaround. Environment: pre-prod | First observed: 2024-08-26,Resolved,High,12,,2024-12-22,2023-04-27
5,3,Login attempt causing crash [Davies],Issue reported: Login attempt causing crash. Customer Davies Johnson This is causing data inconsistency. Action required: coordinate with customer and implement workaround. Impact: medium | Frequency: increasing,In Progress,High,14,22,2023-12-05,
6,12,Request: Custom dashboard for production [Internal],Issue reported: Request: Custom dashboard for production. This is causing data inconsistency. Action required: investigate root cause and apply hotfix. First observed: 2024-05-31 | Frequency: increasing,In Progress,Medium,13,,2022-09-22,
7,2,Customer-facing Authentication timeout in staging [Smith],Issue reported: Customer-facing Authentication timeout in staging. Customer Smith Miller and Huynh This is causing data inconsistency. Action required: implement workaround and investigate root cause. Frequency: sporadic | Impact: critical,Resolved,Medium,13,20,2022-03-04,2023-07-29
8,10,Request: Bulk import for production [MonitorHub],Issue reported: Request: Bulk import for production. Customer Smith Gibbs and Martin This is blocking deployment. Action required: investigate root cause and implement workaround. Environment: pre-prod | Frequency: increasing,In Progress,Medium,23,31,2024-03-19,
9,3,Unable to export data - resource exhausted [Davies],Issue reported: Unable to export data - resource exhausted. Customer Davies Johnson This is causing data inconsistency. Action required: escalate to engineering and implement workaround. First observed: 2024-04-11 | Environment: multi-region,Resolved,Medium,3,22,2022-02-26,2024-08-08
10,12,Database high latency [Internal],Issue reported: Database high latency. This is impacting SLA. Action required: coordinate with customer and implement workaround. Frequency: increasing | Impact: high,Resolved,Medium,11,,2022-03-15,2024-04-25
11,11,Customer-facing Authentication crash in development [Internal],Issue reported: Customer-facing Authentication crash in development. This is preventing access. Action required: escalate to engineering and investigate root cause. Frequency: intermittent | First observed: 2024-10-06,Pending,Medium,4,,2023-12-05,
12,9,Critical Database crash in user workflow [Pilot],Issue reported: Critical Database crash in user workflow. Customer Newman Green and Fletcher This is affecting multiple users. Action required: apply hotfix and investigate root cause. Environment: staging | Frequency: sporadic,In Progress,Critical,14,1,2022-07-15,
13,9,High priority Integration bug in production [Pilot],Issue reported: High priority Integration bug in production. Customer Newman Green and Fletcher This is blocking deployment. Action required: escalate to engineering and escalate to engineering. Environment: pre-prod | Frequency: consistent,Open,Medium,15,1,2022-03-24,
14,1,Request: Custom dashboard for user workflow [Internal],Issue reported: Request: Custom dashboard for user workflow. This is impacting SLA. Action required: coordinate with customer and coordinate with customer. Frequency: increasing | Environment: pre-prod,Resolved,Low,14,,2023-07-19,2025-10-17
